1	2	3	4	5	6	7	8	9	10
LT169564RU	3631990	1616918	264086	34831	15690	21968	45626	19578	28951	7558
LT126293RU	4634187	1430140	317474	22348	15277	8340	6287	7053	7854	9561
LT084808LU	5727975	2166529	573192	34830	25035	18075	13509	18160	23803	12684
LT191618LU	4139045	1590783	359966	34414	15129	9496	9134	9019	6539	9960
LT157856LU	5451596	2190763	690244	39465	37677	20731	17562	25064	15807	22015
LT055396LU	5321551	1768520	493190	47678	27483	18774	18659	15375	29799	11258
LT205707LL	5454019	1832034	397679	40344	22212	19951	27380	22573	22263	9680
LT028264RL	3379016	1468153	298343	24543	17662	19203	67203	21479	29984	7681
LT157177RU	3840672	1844553	429346	22790	25582	15040	42164	23755	39178	9415
LT059224RL	4435137	1605574	373984	47946	35613	26199	30787	36214	54810	12363
LT223106RU	3203191	1808032	321737	25474	19956	21901	53234	32047	34372	10844
LT251693LL	5528785	2220990	526091	48485	23828	19108	17799	17345	23355	13886
LT197821RL	4984442	2159444	413003	44831	30623	20426	20840	29603	35698	11300
LT277036RU	3206167	1301527	246983	37675	23894	42359	77118	38892	67938	8149
LT130603LL	732357	407639	72000	6353	7667	8476	13964	16994	24383	2591
LT013743LL	4508283	1738038	400349	96408	21023	13080	15894	26878	32689	13394
LT243794RL	3247936	1476500	295371	24903	25477	21713	30674	41990	58360	9839
LT184772RL	3045899	1794374	293334	33463	41453	22611	37699	69296	75700	15788
LT91552LL	4805541	1637039	424956	35625	21911	12815	10084	12471	15020	13245
LT122336LU	4775014	2198502	434565	41592	31932	18914	28013	38070	46781	14316
LT220968RU	5841693	2272047	612825	52481	29389	17777	14282	16515	14560	16589
LT141870LU	2166626	778681	175274	22066	11234	9970	13897	11755	12290	6192
LT069585RL	1053387	811528	94404	12824	11119	20459	66715	40190	30718	5020
LT168204LL	3968854	1792495	381364	30988	25628	20526	20544	26249	34966	10530
LT028044RU	4279554	1728257	381857	37231	25467	17113	25885	37731	33164	10952
LT077800RU	2964781	1523026	298884	29113	25863	21011	38457	37896	48385	7624
LT123313RM	2728814	1329171	194243	26735	16083	21967	81141	37452	28677	6310
LT296771LL	3779692	1131376	342828	34493	19103	13173	11073	15019	16858	10472
LT234205RL	5236519	2234540	382659	48816	34019	46382	76168	59505	74510	12824
LT066309LL	2930201	1121578	182655	27038	14720	22077	37375	26832	28763	5781
LT111643RU	1912372	770492	151169	16757	9732	9636	18079	10070	12570	5552
LT184901RU	1007640	513124	96026	9317	8060	18043	27456	23085	24801	3197
LT072387LU	4798214	2005648	623408	45263	23051	12800	12001	13814	12102	13145
LT258372RL	4484020	2185183	491490	40915	39709	42177	110143	46055	67462	14124
LT230415RU	2627512	1149029	301608	24686	12896	7902	7121	6129	5025	5786
LT203446LL	4057482	2056330	424805	38154	23936	16874	28691	20146	24823	10516
LT044225RL	4799314	2017469	487083	37316	25665	21117	51724	28369	21297	8373
LT253371RL	7090413	3661858	754625	74146	38890	36942	109355	51508	41967	14350
LT095342LU	6081003	1791048	479820	43607	19853	12412	16073	14536	10963	8328
LT067200LU	3497229	1247700	314010	84042	18495	13582	29779	18742	16220	8962
LT041389RL	1817084	694055	231537	14698	8941	6292	6855	6019	6408	4133
LT121014LL	3573050	1661854	404113	28106	18050	12901	12596	10316	14434	12523
LT213735RU	3650875	1938638	377149	32989	17137	15155	56127	17708	12218	6811
LT024967LU	4335358	2393151	512227	43076	39760	34644	138003	47679	53730	12069
